league_,season_,team_,player_,nation_,pos_,age_,born_,90s_,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast_,xAG_,Expected_xA,Expected_A-xAG,KP_,1/3_,PPA_,CrsPA_,PrgP_,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int_,Tkl+Int_,Clr_,Err_,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
ENG-Premier League,2425,Leicester City,Jake Evans,ENG,FW,15,2008,0.3,,,,,,,,,,,,,,,,,,2,3,66.7,24,9,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Leicester City,Jamie Vardy,ENG,FW,37,1987,31.4,,,,,,,,,,,,,,,,,,258,389,66.3,3776,424,141,190,74.2,86,114,75.4,15,22,68.2,4,3.0,2.6,1.0,19,11,10,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Leicester City,Kasey McAteer,IRL,FW,22,2001,9.5,,,,,,,,,,,,,,,,,,183,252,72.6,2556,613,118,140,84.3,54,72,75.0,6,12,50.0,1,0.7,0.6,0.3,9,13,6,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Leicester City,Odsonne Édouard,FRA,FW,26,1998,0.3,,,,,,,,,,,,,,,,,,6,8,75.0,59,5,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Leicester City,Stephy Mavididi,ENG,FW,26,1998,17.9,,,,,,,,,,,,,,,,,,460,613,75.0,6191,1429,286,314,91.1,124,184,67.4,18,43,41.9,1,2.6,3.3,-1.6,22,32,26,7,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Leicester City,Will Alves,ENG,FW,19,2005,0.0,,,,,,,,,,,,,,,,,,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Liverpool,Cody Gakpo,NED,FW,25,1999,21.5,,,,,,,,,,,,,,,,,,480,634,75.7,6870,1656,298,343,86.9,149,225,66.2,19,36,52.8,4,4.4,3.8,-0.4,38,24,27,8,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Liverpool,Darwin Núñez,URU,FW,25,1999,12.6,,,,,,,,,,,,,,,,,,163,230,70.9,2390,587,89,111,80.2,48,65,73.8,13,20,65.0,2,1.3,0.5,0.7,11,9,3,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Liverpool,Diogo Jota,POR,FW,27,1996,13.3,,,,,,,,,,,,,,,,,,216,310,69.7,3313,829,113,147,76.9,79,104,76.0,13,23,56.5,3,1.8,1.1,1.2,11,29,3,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Liverpool,Federico Chiesa,ITA,FW,26,1997,1.2,,,,,,,,,,,,,,,,,,27,31,87.1,373,131,17,18,94.4,6,8,75.0,2,2,100.0,0,0.2,0.2,-0.2,2,4,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Liverpool,Luis Díaz,COL,FW,27,1997,26.7,,,,,,,,,,,,,,,,,,736,874,84.2,11789,2533,394,445,88.5,254,295,86.1,60,74,81.1,5,5.0,4.5,0.0,56,48,46,6,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Liverpool,Mohamed Salah,EGY,FW,32,1992,37.5,,,,,,,,,,,,,,,,,,892,1263,70.6,13343,3919,501,601,83.4,302,433,69.7,59,100,59.0,18,14.2,9.1,3.8,88,53,93,15,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Manchester City,Claudio Echeverri,ARG,FW,18,2006,0.1,,,,,,,,,,,,,,,,,,3,3,100.0,26,18,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Manchester City,Divin Mubama,ENG,FW,19,2004,0.3,,,,,,,,,,,,,,,,,,2,3,66.7,44,18,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Manchester City,Erling Haaland,NOR,FW,24,2000,30.4,,,,,,,,,,,,,,,,,,255,381,66.9,3086,593,175,246,71.1,59,84,70.2,4,6,66.7,3,3.0,2.0,0.0,29,10,8,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Manchester City,Oscar Bobb,NOR,FW,21,2003,0.2,,,,,,,,,,,,,,,,,,13,15,86.7,169,33,8,10,80.0,4,4,100.0,0,0,,0,0.1,0.0,-0.1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Manchester Utd,Chidozie Obi-Martin,DEN,FW,16,2007,1.8,,,,,,,,,,,,,,,,,,20,24,83.3,259,49,10,11,90.9,7,9,77.8,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Manchester Utd,Rasmus Højlund,DEN,FW,21,2003,22.3,,,,,,,,,,,,,,,,,,251,336,74.7,2741,486,183,226,81.0,42,62,67.7,4,6,66.7,0,1.8,1.1,-1.8,16,14,5,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
